date,demvotes,demprob,tieprob,source
2024-10-05,285.25125,79.88,0.495,ev
2024-10-05,282.72965,73.92,0.815,ns
2024-10-06,285.0022,79.7,0.505,ev
2024-10-06,282.7458,74.47,0.88,ns
2024-10-07,285.3076,79.74,0.59,ev
2024-10-07,282.8006,74.51,0.67,ns
2024-10-08,285.18285,79.32000000000001,0.505,ev
2024-10-08,282.88565,74.63499999999999,0.745,ns
2024-10-09,285.46135,80.48,0.4499999999999999,ev
2024-10-09,282.6155,74.08500000000001,0.8,ns
2024-10-10,276.44585,62.885,1.475,ev
2024-10-10,282.66515,74.03,0.765,ns
2024-10-11,273.2182,55.63,1.7950000000000002,ev
2024-10-11,282.8395,74.03,0.555,ns
2024-10-12,268.879,47.145,1.155,ev
2024-10-12,282.5025,73.945,0.7799999999999999,ns
2024-10-13,269.765,49.645,1.36,ev
2024-10-13,283.0209,74.79,0.69,ns
2024-10-14,268.20665,47.17,0.77,ev
2024-10-14,282.5352,73.805,0.72,ns
